userName,score,at,content,clean_content
Pengguna Google,1,2024-09-08 01:36:21,Aplikasi Rusak .,"['aplikasi', 'rusak']"
Pengguna Google,5,2024-09-08 01:20:04,"alhamdulillah aplikasi ini sudah berjalan dengan lancar,semoga tambah maju dan tidak mengecewakan","['alhamdulillah', 'aplikasi', 'berjalan', 'lancar', 'semoga', 'maju', 'tidak', 'mengecewakan']"
Pengguna Google,4,2024-09-08 01:11:55,Sangat baik.,"['sangat', 'baik']"
Pengguna Google,2,2024-09-08 01:03:25,tidak bisa perifikasi no hp😌😌,"['tidak', 'perifikasi', 'handphone']"
Pengguna Google,1,2024-09-08 00:41:51,"Pendaftaran Gampang 👍 Mengedit data susah nya mintak ampun 👎👎👎 Merubah Kelas/tingkatan aja juga susah 😱😭😡😡😡😡👎👎👎👎👎👎👎👎 Dll Auto debit pun di paksa 👎👎👎👎👎👎👎👎👎👎👎👎 Setelah kejadian ini, nyesal gua Ambil Kelas/tingkatan di BPJS. Sungguh Pemerintah Pengayom Pribumi 👎👎👎👎👎👎👎 Tionghoa aja, bisa Gonta Ganti nama dengan Cepat 🤬🤬🤬🤬🤬🤬","['pendaftaran', 'gampang', 'mengedit', 'data', 'susah', 'mintak', 'ampun', 'mengubah', 'kelas', 'tingkatan', 'susah', 'auto', 'debit', 'paksa', 'kejadian', 'menyesal', 'gue', 'ambil', 'kelas', 'tingkatan', 'badan', 'penyelenggara', 'jaminan', 'sosial', 'sungguh', 'pemerintah', 'pengayom', 'pribumi', 'tionghoa', 'gonta', 'ganti', 'nama', 'cepat']"
Pengguna Google,5,2024-09-08 00:41:17,Baru pake bkm terlalu tahu,"['pakai', 'bkm', 'terlalu']"
Pengguna Google,5,2024-09-08 00:18:19,Mntap,['mntap']
Pengguna Google,4,2024-09-08 00:12:53,"Aplikasinya selalu nyuruh update terus, sedangkan hp nya udah habis penyimpanannya, giliran urgen mau di pake suruh update aplikasi. Terlalu sering nyuruh di update, padahal baru di update.","['aplikasinya', 'menyuruh', 'pembaruan', 'sedangkan', 'handphone', 'habis', 'penyimpanannya', 'giliran', 'urgen', 'pakai', 'suruh', 'pembaruan', 'aplikasi', 'terlalu', 'menyuruh', 'pembaruan', 'padahal', 'pembaruan']"
Pengguna Google,5,2024-09-08 00:10:31,Bagus,['bagus']
Pengguna Google,5,2024-09-07 23:59:51,Oke,['oke']
Pengguna Google,1,2024-09-07 23:58:45,"Tidak bisa melakukan pendaftaran akun baru, susah sekali untuk proses verifikasi nj nya selalu gagal, tolong diperbaiki lagi","['tidak', 'pendaftaran', 'akun', 'susah', 'sekali', 'proses', 'verifikasi', 'nj', 'gagal', 'tolong', 'diperbaiki']"
Pengguna Google,1,2024-09-07 23:52:34,"Aplikasi Mobile JKN paraaaaah, membuat sulit orang..harus menguras pikiran dan klu gak bisa bener aplikasinya harus ke CS untuk bisa difungsikan kembali sehingga harus menguras tenaga mengikuti antrian yang cukup banyak.....coba BPJS benahi kembali aplikasinya janganlah membuat sulit orang banyak disaat sedang dibutuhkan, sudah diperbaiki Mobile JKN saya sama teman kenapa harus muncul notifikasi ""tidak bisa berjalan pada emulator atau perangkat yang telah dilakukan Root"" keterangannya😇😇","['aplikasi', 'mobile', 'jkn', 'paraaaaah', 'sulit', 'orang', 'menguras', 'pikiran', 'tidak', 'benar', 'aplikasinya', 'rekan', 'difungsikan', 'menguras', 'tenaga', 'mengikuti', 'antrean', 'cukup', 'coba', 'badan', 'penyelenggara', 'jaminan', 'sosial', 'benahi', 'aplikasinya', 'sulit', 'orang', 'dibutuhkan', 'diperbaiki', 'mobile', 'jkn', 'saya', 'teman', 'kenapa', 'muncul', 'notifikasi', 'tidak', 'berjalan', 'emulator', 'perangkat', 'root', 'keterangannya']"
Pengguna Google,5,2024-09-07 23:51:07,Proses registrasi mudah dan cepat,"['proses', 'registrasi', 'mudah', 'cepat']"
Pengguna Google,1,2024-09-07 23:50:31,sampah,['sampah']
Pengguna Google,3,2024-09-07 23:47:29,"Saya selalu gagal verifikasi nomor handphone, krn nomor HP sudah digunakan. Saya sudah coba 2 nomor HP yg saya miliki, tetapi selalu sudah digunakan. Apakah solusinya saya harus beli nomor baru ? Mohon solusi tanpa beli nomor baru. Jika solusinya solutif saya beri bintang 5.","['saya', 'gagal', 'verifikasi', 'nomor', 'handphone', 'nomor', 'handphone', 'saya', 'coba', 'nomor', 'handphone', 'saya', 'miliki', 'tetapi', 'solusinya', 'saya', 'beli', 'nomor', 'mohon', 'solusi', 'beli', 'nomor', 'solusinya', 'solutif', 'saya', 'bintang']"
Pengguna Google,1,2024-09-07 22:49:18,niat hati bantu orang buat ngambil KIS digital. eh malah gak bisa login punya sendiri. karena sudah dipakai 3 NIK yang berbeda... tolong diatasi lah.... masak solusinya suruh login diperangkat lain. wong HP cuma 1.,"['niat', 'hati', 'bantu', 'orang', 'mengambil', 'kartu', 'indonesia', 'sehat', 'digital', 'eh', 'tidak', 'login', 'dipakai', 'nik', 'berbeda', 'tolong', 'diatasi', 'masak', 'solusinya', 'suruh', 'login', 'diperangkat', 'orang', 'handphone']"
Pengguna Google,3,2024-09-07 22:19:58,"Mau perbaikan data susah sekali, foto sydah jelas tetap tidak terbaca / valid","['perbaikan', 'data', 'susah', 'sekali', 'foto', 'sydah', 'tidak', 'terbaca', 'valid']"
Pengguna Google,5,2024-09-07 21:35:29,Baik,['baik']
Pengguna Google,5,2024-09-07 21:31:49,Bagus sangat membantu,"['bagus', 'sangat', 'membantu']"
Pengguna Google,5,2024-09-07 19:50:13,Manttap,['manttap']
Pengguna Google,5,2024-09-07 19:39:27,Ok,['oke']
Pengguna Google,1,2024-09-07 18:47:28,"Saya mau daftar kok email dan nomor HP sudah di gunakan, padahal saya belum punya akun, dan belum mendaftar, gimana solusinya ini","['saya', 'daftar', 'email', 'nomor', 'handphone', 'padahal', 'saya', 'belum', 'akun', 'belum', 'mendaftar', 'bagaimana', 'solusinya']"
Pengguna Google,1,2024-09-07 18:17:05,Aplikasiiiii rusak udah tulis nomer telepon ndak ada pesan otpnya aplikasi rusak,"['aplikasiiiii', 'rusak', 'tulis', 'nomer', 'telepon', 'tidak', 'pesan', 'otpnya', 'aplikasi', 'rusak']"
Pengguna Google,5,2024-09-07 18:08:07,Fiturnya lengkap Bahasa dapat dimengerti,"['fiturnya', 'lengkap', 'bahasa', 'dimengerti']"
Pengguna Google,5,2024-09-07 17:30:46,Mantap,['mantap']
Pengguna Google,3,2024-09-07 16:25:02,Mantap,['mantap']
Pengguna Google,5,2024-09-07 16:23:40,lumayan utk sklas apk pemerintahan,"['lumayan', 'sklas', 'pemerintahan']"
Pengguna Google,1,2024-09-07 16:00:57,Mau daftar gak bisa2. Mnt kode otp sms tidak ada yg masuk sama sekali. Tolong diperhatikan aplikasinya,"['daftar', 'tidak', 'kode', 'otp', 'sms', 'tidak', 'masuk', 'sekali', 'tolong', 'diperhatikan', 'aplikasinya']"
Pengguna Google,5,2024-09-07 15:44:29,Cepat dan mudah.. Mudahan layanan penggunaannya juga seperti ini,"['cepat', 'mudah', 'mudahan', 'layanan', 'penggunaannya']"
Pengguna Google,5,2024-09-07 15:41:09,Mantap,['mantap']
Pengguna Google,5,2024-09-07 15:15:54,"Terima Kasih, Tadi salah masuk aplikasi.","['terima', 'kasih', 'salah', 'masuk', 'aplikasi']"
Pengguna Google,3,2024-09-07 14:59:51,Lumbayan bisa ngebantu,"['lumbayan', 'membantu']"
Pengguna Google,5,2024-09-07 14:57:01,Terima kasih,"['terima', 'kasih']"
Pengguna Google,5,2024-09-07 14:56:07,Mudah dan cepat prosesnyaa,"['mudah', 'cepat', 'prosesnyaa']"
Pengguna Google,1,2024-09-07 14:42:51,Hapus aja aplikasinya sdh daftar antrian malah hilang ngak becus buat aplikas,"['hapus', 'aplikasinya', 'daftar', 'antrean', 'hilang', 'tidak', 'becus', 'aplikas']"
Pengguna Google,5,2024-09-07 14:29:07,"Pada tanggal 30 Agustus kemarin saya mau scan barcode tapi gabisa katanya lagi error trus sekarang mau ambil antrian tidak bisa, tulisannya di suruh check in dulu tapi udh kelewat tanggalnya udh di layani juga gimana dong?","['tanggal', 'agustus', 'kemarin', 'saya', 'scan', 'barcode', 'tapi', 'tidak', 'error', 'ambil', 'antrean', 'tidak', 'tulisannya', 'suruh', 'check', 'tapi', 'kelewat', 'tanggalnya', 'layani', 'bagaimana']"
Pengguna Google,2,2024-09-07 14:13:25,"Apk jelek ootp ga muncul muncul, jadi susah pdahal pendaftaran kerumah sakit harus pake jkn mobile tpi ga bisa daftar","['jelek', 'ootp', 'tidak', 'muncul', 'muncul', 'susah', 'padahal', 'pendaftaran', 'rumah', 'sakit', 'pakai', 'jkn', 'mobile', 'tetapi', 'tidak', 'daftar']"
Pengguna Google,5,2024-09-07 14:04:56,Sangat membantu,"['sangat', 'membantu']"
Pengguna Google,1,2024-09-07 13:57:25,"Aplikasi tidak bisa digunakan, ada emulator","['aplikasi', 'tidak', 'emulator']"
Pengguna Google,1,2024-09-07 13:42:17,"Ini masalah ngga pernah solve, tidak berjalan pada emulator dan perangkat telah dilakukan root. Gimana nih BPJS Kesehatan???","['tidak', 'solusi', 'tidak', 'berjalan', 'emulator', 'perangkat', 'root', 'bagaimana', 'badan', 'penyelenggara', 'jaminan', 'sosial', 'kesehatan']"
Pengguna Google,2,2024-09-07 12:45:50,sangat menbatu,"['sangat', 'menbatu']"
Pengguna Google,5,2024-09-07 12:37:38,Lebih mudah,"['lebih', 'mudah']"
Pengguna Google,5,2024-09-07 12:32:40,Joss tingkatkanlah terus,"['joss', 'tingkatkanlah']"
Pengguna Google,5,2024-09-07 12:11:35,Terima kasih mobile JKN,"['terima', 'kasih', 'mobile', 'jkn']"
